Method,Vocab Size,TinyStories (TPB),WikiText (TPB),TinyStories (TPW),WikiText (TPW)
Artificial,874,0.5214272237568183,0.7930809753978167,2.6764163415868247,4.089712471994026
BPE-1K,1000,0.29356515508370556,0.40215548193607176,1.5068307571775996,2.073811301966642
BPE-5K,5000,0.2391613120689911,0.3168292933132992,1.2275830925838271,1.6338063231267115
Unigram-1K,1000,0.3526370907734152,0.5564848506791699,1.8100391183943505,2.8696477470749318
Byte,256,1.0,1.0,5.132866524121196,5.156740104555639
